shipment_id,supplier_id,supplier_name,region,primary_plant,tier,part_category,risk_profile,ship_date,ship_month,ship_quarter,po_value_usd,qty_ordered,has_violation,violation_type,penalty_usd,is_false_positive,fp_suppression_reason,chargeback_issued,dispute_raised,dispute_status,final_penalty_usd
SHP-356787,SUPP_045,Supplier_045,APAC-China,Giga Shanghai,Tier 1,Interior,Low,2024-11-23,2024-11,Q4 2024,66369,254,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-671858,SUPP_089,Supplier_089,EMEA-Europe,Giga Berlin,Tier 1,Interior,Medium,2024-04-24,2024-04,Q2 2024,81158,889,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-629903,SUPP_084,Supplier_084,NA-West,Giga Fremont,Tier 1,Fasteners,Low,2024-02-14,2024-02,Q1 2024,317588,3506,True,ASN_MISSING,749.82,False,,True,True,Upheld,749.82
SHP-781453,SUPP_072,Supplier_072,APAC-China,Giga Shanghai,Tier 1,Chassis & Frame,Low,2024-11-04,2024-11,Q4 2024,21912,4647,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-717889,SUPP_066,Supplier_066,NA-East,Giga New York,Tier 3,Electronics,Medium,2024-12-25,2024-12,Q4 2024,293706,3486,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-267414,SUPP_034,Supplier_034,NA-East,Giga New York,Tier 1,Interior,High,2024-05-22,2024-05,Q2 2024,432374,103,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-325772,SUPP_115,Supplier_115,EMEA-Europe,Giga Berlin,Tier 1,Battery Systems,Medium,2024-12-23,2024-12,Q4 2024,229571,2837,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-201414,SUPP_011,Supplier_011,EMEA-Europe,Giga Berlin,Tier 1,Chassis & Frame,Low,2025-01-25,2025-01,Q1 2025,184472,887,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-662275,SUPP_090,Supplier_090,NA-West,Giga Fremont,Tier 1,Thermal Management,High,2024-07-02,2024-07,Q3 2024,188331,4995,True,ASN_LATE,0.0,True,EDI_System_Delay,False,False,N/A,0.0
SHP-969693,SUPP_100,Supplier_100,APAC-China,Giga Shanghai,Tier 1,Powertrain,Medium,2024-03-04,2024-03,Q1 2024,206461,695,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-838797,SUPP_092,Supplier_092,NA-East,Giga New York,Tier 1,Thermal Management,Medium,2024-11-17,2024-11,Q4 2024,332282,3012,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-183667,SUPP_090,Supplier_090,NA-West,Giga Fremont,Tier 1,Thermal Management,High,2024-02-05,2024-02,Q1 2024,32025,1916,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-575435,SUPP_120,Supplier_120,NA-Central,Giga Texas,Tier 2,Chassis & Frame,Medium,2025-03-13,2025-03,Q1 2025,130049,877,False,NONE,0.0,False,,False,False,N/A,0.0
